video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
Tu8TF_SnUQ0	Régine raconte ses amants célèbres à Thierry Ardisson | INA Arditube	2022-05-03T17:00:12Z	24	PT20M21S	72814	78042	110137	151301	204043	225081	236919	252215	412	462	706	950	1138	1259	1330	1417	58	62	96	146	178	200	211	224
SqSWfSWJNN4	Gérer sa vie privée sur YouTube	2022-05-03T10:00:28Z	27	PT22M8S	85751	88331	96171	111095	120632	125012	126665	130509	7014	7231	7727	8468	8953	9156	9288	9444	477	485	505	544	562	578	577	574
yYLkFpo6BQY	100 BOUTONS MYSTÈRES mais 1 SEUL m'aide à M'ÉCHAPPER	2022-04-29T15:00:26Z	24	PT9M51S	605983	624346	672356	715781	749308	762126	767886	795273	36845	37717	39641	41635	43170	43678	44136	45067	690	701	720	767	797	803	813	822
EQMpb4ff9ck	On a remonté LA NUIT DES MORTS-VIVANTS ! (galère mortelle)	2022-05-02T15:28:50Z	1	PT27M9S	65941	68208	73801	76742	80005	81494	82193	84010	5204	5353	5646	5836	6049	6138	6189	6271	213	223	234	244	259	267	270	274
Hes5rrXOekg	MON NOUVEAU STUDIO (j'ai tout construit seul et c'est incroyable)	2022-05-04T16:00:10Z	23	PT14M4S	74056	92504	117045	123346	128679	131583	132855	136285	11514	13218	15282	15867	16491	16757	16915	17164	290	304	331	338	349	349	352	354
vg6Iq_Es3Wk	PSY - 'Celeb' MV	2022-05-03T09:00:20Z	10	PT3M25S	9670189	10147962	11426161	12300869	13057874	13400834	13599472	14093217	629001	639647	662453	676699	689279	695155	698061	706488	21597	22016	22898	23580	24058	24284	24344	24593
qVdc7AvM4xQ	ENHYPEN (엔하이픈) 'Tamed-Dashed [Japanese Ver.]' Official MV	2022-05-02T14:58:12Z	10	PT4M	2446168	2521064	2771949	2912246	3099183	3186021	3236766	3351428	474794	480418	495978	504231	513371	517888	519971	524321	24364	24616	25092	25371	25779	25965	26026	26157
zRE7bFo0cho	Captaine Roshi & Diddi Trix vs Dada & Black D - Red Bull Rap Jeu	2022-04-29T16:00:40Z	24	PT20M25S	115363	116948	121402	123443	124973	126036	126565	127940	5073	5137	5237	5292	5333	5357	5366	5388	348	350	359	361	366	368	372	376
Ja-iRVgOWjU	Soirée anecdotes - Best-of #39 (HS Les Pires Plagiats de Disney - Robin des Bois)	2022-05-04T16:20:06Z	20	PT51M1S	227455	274641	347801	380838	412179	427723	434747	454351	14065	15828	17975	18834	19843	20253	20499	20950	511	566	644	666	686	697	702	712
Cp-n7RgynL4	Ce Speedrunneur n'est Littéralement pas Humain...	2022-04-30T15:00:07Z	20	PT14M31S	141938	146859	161690	168865	174595	178445	180151	185951	9264	9496	9971	10229	10438	10546	10625	10765	131	134	135	142	142	146	146	145
dAvhFbTZGRU	On réagit avec un ado à sa propre émission SOS : Ma Famille a Besoin d'Aide !!	2022-04-28T15:02:21Z	23	PT54M7S	490312	504614	534193	548063	562215	571182	575862	591150	24312	25006	26020	26611	27203	27552	27869	28404	829	851	884	902	920	927	935	946
zIXe1UxUrOw	FAITES MOI RIRE, GAGNEZ 1000€ (ces gens sont des génies)	2022-05-01T15:25:00Z	23	PT24M47S	2615734	2717013	3064476	3270152	3455514	3577976	3643195	3855668	252482	260649	280622	292774	303935	310651	315853	325569	3347	3403	3534	3639	3722	3786	3828	3894
bXgKi50XnZc	SI ÇA MARCHE, J’EXPLOSE MON CRÂNE 🤯 (Expériences Tiktok improbables) #2	2022-04-30T09:02:00Z	23	PT14M36S	2517910	2570376	2746536	2818153	2875978	2914152	2932298	2997619	272702	277230	286988	291073	294856	297025	298663	301871	2924	2964	3048	3082	3110	3133	3147	3167
E2lBuNyhLrs	Ce Jour où Une Vague a Tué 230 000 Personnes	2022-05-02T16:00:05Z	27	PT12M17S	641480	660927	710670	746273	779035	796107	802927	822304	40166	41312	43424	44956	46210	46920	47302	48108	1247	1266	1307	1335	1365	1376	1384	1399
