video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
7P2xj3j5RWc	Tony Colombo - Mezz’ora fa - Cover 2022	2022-04-29T09:00:11Z	10	PT4M31S	257753	265358	286016	301833	319679	327390	336838	353731	4010	4102	4279	4368	4444	4503	4555	4633	259	261	275	280	284	285	285	287
OZkvm0wem0s	UEFA Champions League | Real Madrid-Manchester City 3-1 Highlights | Un'altra remuntada incredibile	2022-05-04T22:37:24Z	17	PT3M5S	523627	757624	872591	897148	913904	921058	924414	932304	17048	20732	21667	21856	22027	22068	22125	22170	1137	1294	1366	1366	1371	1379	1381	1384
fFFGdJCy7Sc	Pace proibita	2022-05-02T22:06:25Z	29	PT3H7M10S	95478	100334	114811	122510	130267	133886	135816	139517	4802	4986	5472	5761	6036	6161	6222	6336	None	None	None	None	None	None	None	None
uGzDKU7gxho	INCREDIBLE FULL TIME SCENES! Real Madrid stun Man City to reach ANOTHER Champions League final!	2022-05-04T22:00:50Z	17	PT9M44S	2328062	2433533	2446565	2448638	2443616	2444090	2444259	2444889	38594	38851	38930	38767	38773	38777	38780	38784	3498	3545	3544	3545	3539	3530	3528	3528
Klmparbq4hQ	MINI BUNKER COMPLETATO!	2022-04-26T12:00:35Z	26	PT16M4S	1904321	1932366	2007572	2064845	2115610	2143804	2158946	2195305	241654	243866	247901	251478	254886	256437	257784	259666	24913	25017	25217	25401	25577	25660	25717	25814
WQbb2PBBVNM	FUT DRAFT... ma posso vedere SOLO le BANDIERE!! - FUT DRAFT CHALLENGE FIFA 22	2022-05-03T12:15:01Z	20	PT22M28S	292698	308942	334583	354309	375505	390067	397297	410676	24722	25409	26303	27062	27935	28350	28646	28978	216	220	222	225	227	227	228	228
jeVqPpWlPxg	BTS (방탄소년단) ‘Proof’ Logo Trailer	2022-05-04T15:02:57Z	10	PT5M21S	5286037	5876518	6885868	7346701	7800390	8070148	8222836	8559844	1273504	1347713	1683131	1757229	1839557	1888266	1915092	1966717	63154	65808	69485	71179	72854	73726	74181	75026
xwkdFxYbdDE	Cosa vuol dire abitare in centro... pt 29	2022-05-02T16:13:37Z	24	PT6M36S	515891	534327	562781	586150	610261	623288	629282	643895	42240	42989	44037	45130	46339	46794	47171	47627	350	355	362	371	382	385	392	395
a8DssxNUIU0	NON TOCCARE una ROLLS ROYCE! - 5 curiosità INCREDIBILI	2022-05-02T10:00:00Z	24	PT41S	286521	294216	366298	458499	538840	590330	616217	674645	34461	35344	43200	52955	60925	65416	69564	73922	371	378	445	545	637	683	717	757
TVzPx7geWY4	Am dat foc la toata karma (feat. Lele)	2022-05-04T11:28:43Z	10	PT2M53S	237046	350616	631759	826181	1079740	1225117	1360751	1695919	3600	5035	8076	9802	11724	12815	13869	15981	0	0	0	0	0	0	0	0
q7qpAhPAyag	Sherr në studio/ Ulërima e të shara, ndërhyn policia. Çfarë ndodhi live mes nuses,vjehrrës e kunatës	2022-05-04T13:04:23Z	24	PT1H59S	182846	211822	273932	303367	338415	364145	381367	419978	1153	1351	1649	1800	1984	2108	2195	2353	750	822	968	1027	1074	1106	1120	1158
d9RkYL35MJE	Taglio i capelli dopo un anno e mezzo 👦🏻	2022-05-01T10:00:15Z	27	PT10M27S	152151	158654	173776	177829	180512	182244	182843	184337	10999	11550	12029	12238	12395	12477	12512	12569	438	455	475	483	490	494	494	497
iH8mWNKM8xU	Married to the Met | Get Ready for the Met Gala with Me	2022-05-04T19:11:04Z	22	PT9M11S	2012873	2705990	4039625	4520303	4957672	5169542	5276001	5600771	None	None	None	None	None	None	None	None	3285	3934	4693	4823	5024	5102	5181	5281
JrcBrCSZbZ0	The final will be fantastic! Cool, calm and collected Ancelotti after Real Madrid victory	2022-05-04T22:41:40Z	17	PT1M48S	485866	623880	825867	893253	921501	928636	931084	936036	11717	13710	16412	17439	17874	17958	17994	18054	1263	1448	1657	1739	1765	1777	1780	1786
5Z3ZC3Xqo4g	Capital T - PER DASHNI (prod. Heku, Beatzarre & Djorkaeff)	2022-05-04T15:00:14Z	10	PT2M39S	300327	533051	896803	1021814	1179410	1259250	1330003	1465648	7439	8542	9658	10336	10990	11306	11538	11840	143	166	181	None	None	None	None	None
oO2A5dHzeIc	Il RIASSUNTONE psichedelico di WANDAVISION #ILRidoppiatore	2022-04-30T17:01:20Z	23	PT16M5S	178253	187689	211756	227254	241450	249924	254582	263227	21583	22159	23445	24202	24960	25301	25552	25945	735	746	772	785	799	809	815	821
JMdr5imKtPk	STURDY	2022-04-28T22:01:19Z	10	PT3M58S	652244	663152	684514	697673	713617	726307	736240	757663	12209	12347	12574	12731	12898	13018	13128	13306	0	0	0	0	0	0	0	0
a2-KCKHTrC8	Mamma Mia	2022-04-28T23:05:11Z	10	PT2M47S	89582	96008	114066	126967	143450	157580	169514	197906	2345	2448	2679	2820	3030	3198	3328	3603	0	0	0	0	0	0	0	0
L7D8PKNsZ3Y	Me contro Te Il Film- Premiazione David Di Donatello 2022	2022-05-04T11:53:26Z	24	PT3M45S	72477	89716	117884	131870	146775	155349	161648	175597	3701	4170	4682	5050	5439	5679	5918	6185	None	None	None	None	None	None	None	None
TPoMuSdbL90	ANDIAMO AL PARCO DI GONFIABILI!!	2022-04-30T10:00:26Z	24	PT12M11S	760353	784942	847041	889205	930105	952154	963933	987216	20199	20615	21345	21905	22457	22728	22927	23094	1380	1397	1435	1476	1512	1525	1530	1543
BMRUFaqTMlI	Milan 1-0 Fiorentina | Leao infiamma San Siro | Serie A TIM 2021/22	2022-05-01T18:00:12Z	17	PT3M24S	1050857	1053759	1060632	1064262	1068465	1070051	1070844	1072640	19138	19186	19266	19312	19365	19378	19396	19409	853	855	857	860	865	866	858	859
kY5UcheqBg4	Conosciamo La Donna OSSESSIONATA Dal BLU 🟦🚙	2022-04-29T12:00:13Z	24	PT11M39S	295578	301484	314934	322897	330402	334775	336865	342059	31177	31809	32689	33283	33885	34201	34473	34820	1074	1090	1113	1148	1167	1174	1181	1184
WIjyPNvlKcY	Baby Gang - Paranoia (Official Video)	2022-04-29T19:00:13Z	10	PT3M44S	996778	1069834	1264639	1381369	1498538	1582124	1641089	1772465	51853	53558	56907	58633	60554	61802	62772	64279	2412	2450	2531	2566	2623	2643	2658	2679
VOy-koBLg98	UEFA Champions League | Real Madrid-Man City 3-1 | Intervista a Carlo Ancelotti	2022-05-04T22:45:58Z	17	PT4M12S	222041	433336	576476	597049	610303	615109	617377	623717	6850	11000	12545	12726	12815	12839	12868	12901	719	968	1102	1100	1116	1119	1119	1121
-Q-ZpoATlpI	Rosa si risveglia al suo funerale, viene portata in ospedale e muore poco dopo	2022-05-03T13:19:44Z	25	PT1M39S	373965	400724	491042	548123	587720	613571	623599	637635	4003	4718	5868	6687	7266	7604	7822	7984	429	471	480	531	559	574	578	580
cUbzWjNqtmo	Amber Heard testifies in Johnny Depp defamation trial | full video	2022-05-04T21:12:26Z	25	PT2H56M56S	2124482	2187011	2288417	2311883	2347923	2374532	2384503	2415139	12887	13092	13420	13454	13683	13797	13827	13936	6051	6356	6515	6578	6704	6761	6750	6789
MOifIuOhBiA	День шестьдесят девятый. Беседа с @Alexey Arestovych Алексей Арестович	2022-05-03T19:44:56Z	25	PT39M30S	2284550	2297209	2319574	2326130	2326858	2331163	2332383	2335586	348661	348779	348036	347888	347707	347635	347561	347431	5622	5683	5428	5361	5307	5289	5289	5264
WhIfGDvXghQ	TI VESTI SEMPRE UGUALE?!?! Ecco come smettere!	2022-05-01T09:30:08Z	26	PT6M37S	99814	101540	106828	109006	111787	113300	114182	116213	9264	9465	9884	10103	10320	10424	10513	10636	175	178	183	189	191	191	191	193
mD2iDUoCxt0	L'ERRORE PIU' GRANDE della mia vita - Vi racconto tutta la storia della Opel GT	2022-05-01T16:00:32Z	2	PT26M37S	253729	266734	288889	297065	305305	309571	311390	316846	20653	21153	21848	22162	22502	22670	22760	22931	816	854	924	946	975	990	1001	1011
5BiMGHyv3WI	Marcy (Quasi) DENUNCIATO E CACCIATO DALL'IKEA	2022-05-01T13:00:04Z	24	PT10M54S	37748	40363	47916	50676	52856	54675	55811	58228	4356	4630	5047	5212	5353	5449	5553	5655	62	63	74	76	78	79	81	82
4vbDFu0PUew	LE SSERAFIM FEARLESS OFFICIAL M/V	2022-05-02T08:58:13Z	10	PT3M3S	31912493	33137969	40236974	44614240	51079500	53319654	53977360	56503251	989172	1006727	1071489	1108628	1152836	1175376	1188710	1219595	58736	59710	62672	64867	67579	68535	69260	70637
scZgPT3h4uY	SE GLI YOUTUBERS ITALIANI FOSSERO UNA CLASSE!! - L'INTERROGAZIONE	2022-04-28T13:45:02Z	20	PT9M5S	233258	245048	275500	294783	313173	323578	329127	342825	23400	24225	25825	26852	27786	28265	28700	29232	1078	1097	1123	1141	1168	1170	1185	1194
_HlOyG1HxEI	Bonucci, compleanno e doppietta: Juventus-Venezia 2-1 | Serie A TIM | DAZN Highlights	2022-05-01T15:30:12Z	17	PT3M26S	346101	346815	348699	349228	349856	350068	350182	350371	4967	4985	5010	5020	5030	5030	5031	5034	221	231	233	233	234	234	234	234
DuDmanjlXLo	Senza chiedere permesso	2022-04-29T10:04:42Z	10	PT2M52S	195495	217537	274602	318586	381766	416424	448303	516080	6876	7319	8187	8968	9983	10500	11038	11729	0	0	0	0	0	0	0	0
3_zu-BUdywI	WWE Raw 2 May 2022 FullShow Highlights HD - WWE Monday Night Raw Highlights Full Show 5/2/2022 HD	2022-05-03T05:16:38Z	28	PT46M54S	134832	205333	249134	273503	279847				2172	2773	3072	3213	3245				66	82	96	100	0			
PozSoxA1HtY	Come avere 200€ | Avv. Angelo Greco #shorts	2022-05-03T18:00:07Z	25	PT1M11S	47410	48796	52609	55695	58984	60551	61108	62073	2317	2373	2443	2531	2629	2663	2688	2712	342	350	387	423	439	447	448	447
0ue7A9x_K5Q	RUSSIA: il 9 maggio potrebbe SCOPPIARE la GUERRA TOTALE | Avv. Angelo Greco	2022-05-02T06:30:01Z	25	PT7M10S	132088	140456	167640	179982	193660	196382	196870	197694	7450	7905	8986	9511	10057	10121	10136	10153	1093	1158	1306	1392	1430	1445	1447	1443
aa6NTDLX5Og	Batman e l'Enigmista discutono sul meme definitvo su Johnny Depp e Amber Heard	2022-05-01T19:03:47Z	23	PT41S	119659	122953	135001	139468	142809	144754	145800	148209	11677	11883	12360	12563	12744	12825	12911	13040	229	230	239	245	247	248	249	248
6eN_roYUYQU	GENT FATALI x FIFI - PIKTURE	2022-04-28T16:00:25Z	10	PT3M8S	3930332	4167069	4857121	5284482	5787192	6096204	6354426	6898736	32471	33476	35838	37291	38672	39642	40361	41686	610	618	663	688	711	722	734	753
